site,central,levies_off,gas_up50,gas_down30,carbon_x1.5,carbon_x0.6,ccs_slip,lo,hi,cluster,sector
Tate and Lyle Sugars,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,Dispersed,heat
Teesside Beam Mill,0.002,0.002,0.002,0.002,0.002,0.036,0.002,0.002,0.036,Teesside,steel
Teesside Hydrogen Plant,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,Teesside,heat
The Girvan Distillery,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,Unmapped,heat
The Lycra Company UK Limited,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,Unmapped,heat
Tronox Pigment - CHP Plant,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,Dispersed,heat
Tunstead Cement,0.343,0.343,0.343,0.343,0.343,0.525,0.446,0.343,0.525,Dispersed,cement
Tunstead Lime,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,Unmapped,heat
"Valero, Pembroke",2.544,2.544,2.544,2.544,1.765,2.544,2.544,1.765,2.544,South Wales,heat
Venator Materials UK Limited,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,Unmapped,heat
Whittlesey,0.047,0.047,0.047,0.047,0.043,0.047,0.047,0.043,0.047,Dispersed,heat
Whitwell Works Lime Kiln Plant,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,Dispersed,heat
Wigton Boiler Plant,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,Unmapped,heat
Winnington Sodium Carbonate Manufacturing Site,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,Merseyside,heat
Wissington Sugar Factory,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,Dispersed,heat
dispersed_heat,2.455,2.455,2.455,2.455,2.455,2.455,2.455,2.455,2.455,Dispersed,heat
dispersed_steel,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,Dispersed,steel
