site,year,fuel,PJ
Ardagh Glass - Headlands,2038,biomass,0.8599
Ardagh Glass - Headlands,2038,gas,0.0072
Ardagh Glass - Headlands,2038,hydrogen,0.005
Ardagh Glass - Headlands,2040,biomass,0.8599
Ardagh Glass - Headlands,2040,gas,0.0048
Ardagh Glass - Headlands,2040,hydrogen,0.005
Ardagh Glass - Headlands,2042,biomass,0.8599
Ardagh Glass - Headlands,2042,gas,0.0024
Ardagh Glass - Headlands,2042,hydrogen,0.005
Ardagh Glass - Headlands,2044,biomass,0.8599
Ardagh Glass - Headlands,2044,hydrogen,0.005
Ardagh Glass - Headlands,2046,biomass,0.8573
Ardagh Glass - Headlands,2046,hydrogen,0.005
Ardagh Glass - Headlands,2048,biomass,0.8573
Ardagh Glass - Headlands,2048,hydrogen,0.0025
Ardagh Glass - Headlands,2050,biomass,0.8573
Ardagh Glass - Wheatley,2026,biomass,0.0066
Ardagh Glass - Wheatley,2026,gas,2.1765
Ardagh Glass - Wheatley,2028,biomass,0.0066
Ardagh Glass - Wheatley,2028,gas,2.2032
Ardagh Glass - Wheatley,2030,biomass,0.0066
Ardagh Glass - Wheatley,2030,gas,2.2307
Ardagh Glass - Wheatley,2032,biomass,0.0066
Ardagh Glass - Wheatley,2032,gas,2.0125
Ardagh Glass - Wheatley,2032,hydrogen,0.2111
Ardagh Glass - Wheatley,2034,biomass,0.0066
Ardagh Glass - Wheatley,2034,gas,2.0236
Ardagh Glass - Wheatley,2034,hydrogen,0.2111
Ardagh Glass - Wheatley,2036,biomass,0.2232
Ardagh Glass - Wheatley,2036,gas,1.8053
Ardagh Glass - Wheatley,2036,hydrogen,0.2111
Ardagh Glass - Wheatley,2038,biomass,0.2232
Ardagh Glass - Wheatley,2038,gas,1.8258
Ardagh Glass - Wheatley,2038,hydrogen,0.2111
Ardagh Glass - Wheatley,2040,biomass,1.1315
Ardagh Glass - Wheatley,2040,gas,0.9652
Ardagh Glass - Wheatley,2040,hydrogen,0.2111
Ardagh Glass - Wheatley,2042,biomass,1.1315
Ardagh Glass - Wheatley,2042,gas,0.959
Ardagh Glass - Wheatley,2042,hydrogen,0.2111
Ardagh Glass - Wheatley,2044,biomass,1.1315
Ardagh Glass - Wheatley,2044,gas,0.9528
Ardagh Glass - Wheatley,2044,hydrogen,0.2111
Ardagh Glass - Wheatley,2046,biomass,1.1248
Ardagh Glass - Wheatley,2046,gas,0.9528
Ardagh Glass - Wheatley,2046,hydrogen,0.2111
Ardagh Glass - Wheatley,2048,biomass,1.1248
Ardagh Glass - Wheatley,2048,gas,0.9528
Ardagh Glass - Wheatley,2048,hydrogen,0.2046
Ardagh Glass - Wheatley,2050,biomass,1.1248
Ardagh Glass - Wheatley,2050,gas,0.9528
Ardagh Glass - Wheatley,2050,hydrogen,0.1981
Ardagh Glass Limited,2026,biomass,0.0
Ardagh Glass Limited,2026,gas,1.3061
Ardagh Glass Limited,2028,biomass,0.0
Ardagh Glass Limited,2028,gas,1.3226
Ardagh Glass Limited,2030,biomass,0.0
Ardagh Glass Limited,2030,gas,1.339
Ardagh Glass Limited,2032,biomass,0.0
Ardagh Glass Limited,2032,gas,1.3373
Ardagh Glass Limited,2032,hydrogen,0.0077
Ardagh Glass Limited,2034,biomass,0.0
Ardagh Glass Limited,2034,gas,1.344
Ardagh Glass Limited,2034,hydrogen,0.0077
Ardagh Glass Limited,2036,biomass,0.0
Ardagh Glass Limited,2036,gas,1.3506
Ardagh Glass Limited,2036,hydrogen,0.0077
Ardagh Glass Limited,2038,biomass,0.0
Ardagh Glass Limited,2038,electricity,0.04
Ardagh Glass Limited,2038,gas,1.22
Ardagh Glass Limited,2038,hydrogen,0.0077
Ardagh Glass Limited,2040,biomass,0.0
Ardagh Glass Limited,2040,electricity,0.08
Ardagh Glass Limited,2040,gas,1.0894
Ardagh Glass Limited,2040,hydrogen,0.0077
Ardagh Glass Limited,2042,biomass,0.0
Ardagh Glass Limited,2042,electricity,0.2
Ardagh Glass Limited,2042,gas,0.705
Ardagh Glass Limited,2042,hydrogen,0.0077
Ardagh Glass Limited,2044,biomass,0.0
Ardagh Glass Limited,2044,electricity,0.2
Ardagh Glass Limited,2044,gas,0.7013
Ardagh Glass Limited,2044,hydrogen,0.0077
Ardagh Glass Limited,2046,electricity,0.2
Ardagh Glass Limited,2046,gas,0.6976
Ardagh Glass Limited,2046,hydrogen,0.0077
Ardagh Glass Limited,2048,electricity,0.2
Ardagh Glass Limited,2048,gas,0.6976
Ardagh Glass Limited,2048,hydrogen,0.0039
Ardagh Glass Limited,2050,electricity,0.2
Ardagh Glass Limited,2050,gas,0.6976
Ardagh Glass Ltd,2026,biomass,0.0071
Ardagh Glass Ltd,2026,gas,2.3216
Ardagh Glass Ltd,2028,biomass,0.2476
Ardagh Glass Ltd,2028,gas,2.0954
Ardagh Glass Ltd,2030,biomass,0.2476
Ardagh Glass Ltd,2030,gas,2.1247
Ardagh Glass Ltd,2032,biomass,0.2476
Ardagh Glass Ltd,2032,gas,2.1366
Ardagh Glass Ltd,2034,biomass,0.4644
Ardagh Glass Ltd,2034,gas,1.9038
Ardagh Glass Ltd,2034,hydrogen,0.0138
Ardagh Glass Ltd,2036,biomass,0.6954
Ardagh Glass Ltd,2036,gas,1.671
Ardagh Glass Ltd,2036,hydrogen,0.0138
Ardagh Glass Ltd,2038,biomass,0.6954
Ardagh Glass Ltd,2038,electricity,0.0713
Ardagh Glass Ltd,2038,gas,1.4382
Ardagh Glass Ltd,2038,hydrogen,0.0138
Ardagh Glass Ltd,2040,biomass,0.6954
Ardagh Glass Ltd,2040,electricity,0.3587
Ardagh Glass Ltd,2040,gas,0.5202
Ardagh Glass Ltd,2040,hydrogen,0.0138
Ardagh Glass Ltd,2042,biomass,0.6954
Ardagh Glass Ltd,2042,electricity,0.3587
Ardagh Glass Ltd,2042,gas,0.5135
Ardagh Glass Ltd,2042,hydrogen,0.0138
Ardagh Glass Ltd,2044,biomass,0.6954
Ardagh Glass Ltd,2044,electricity,0.3587
Ardagh Glass Ltd,2044,gas,0.5069
Ardagh Glass Ltd,2044,hydrogen,0.0138
Ardagh Glass Ltd,2046,biomass,0.6883
Ardagh Glass Ltd,2046,electricity,0.3587
Ardagh Glass Ltd,2046,gas,0.5069
Ardagh Glass Ltd,2046,hydrogen,0.0138
