site,year,fuel,PJ
Ardagh Glass Ltd,2026,gas,2.3282
Ardagh Glass Ltd,2027,biomass,0.0001
Ardagh Glass Ltd,2027,gas,2.3282
Ardagh Glass Ltd,2028,biomass,0.0001
Ardagh Glass Ltd,2028,gas,2.3282
Ardagh Glass Ltd,2029,biomass,0.0001
Ardagh Glass Ltd,2029,gas,2.3282
Ardagh Glass Ltd,2030,biomass,0.0001
Ardagh Glass Ltd,2030,gas,2.3282
Ardagh Glass Ltd,2031,biomass,0.0001
Ardagh Glass Ltd,2031,gas,2.3204
Ardagh Glass Ltd,2032,biomass,0.0001
Ardagh Glass Ltd,2032,gas,2.3126
Ardagh Glass Ltd,2033,biomass,0.0001
Ardagh Glass Ltd,2033,gas,2.3049
Ardagh Glass Ltd,2034,biomass,0.0001
Ardagh Glass Ltd,2034,gas,2.2971
Ardagh Glass Ltd,2035,biomass,0.0001
Ardagh Glass Ltd,2035,gas,2.2894
Ardagh Glass Ltd,2036,biomass,0.0001
Ardagh Glass Ltd,2036,gas,2.2816
Ardley Landfill,2026,gas,1.1463
Ardley Landfill,2027,gas,1.1463
Ardley Landfill,2028,gas,1.1463
Ardley Landfill,2029,gas,1.1463
Ardley Landfill,2030,gas,1.1463
Ardley Landfill,2031,gas,1.1425
Ardley Landfill,2032,gas,1.1387
Ardley Landfill,2033,gas,1.1348
Ardley Landfill,2034,gas,1.131
Ardley Landfill,2035,gas,1.1272
Ardley Landfill,2036,gas,1.1234
Austerfield Works,2026,gas,0.4745
Austerfield Works,2027,gas,0.4745
Austerfield Works,2028,gas,0.4745
Austerfield Works,2029,gas,0.4745
Austerfield Works,2030,gas,0.4745
Austerfield Works,2031,gas,0.4729
Austerfield Works,2032,gas,0.4714
Austerfield Works,2033,gas,0.4698
Austerfield Works,2034,gas,0.4682
Austerfield Works,2035,gas,0.4666
Austerfield Works,2036,gas,0.465
Barrow Mill,2026,gas,0.6496
Barrow Mill,2027,gas,0.6496
Barrow Mill,2028,gas,0.6496
Barrow Mill,2029,gas,0.6496
Barrow Mill,2030,gas,0.6496
Barrow Mill,2031,gas,0.6474
Barrow Mill,2032,gas,0.6452
Barrow Mill,2033,gas,0.6431
Barrow Mill,2034,gas,0.6409
Barrow Mill,2035,gas,0.6387
Barrow Mill,2036,gas,0.6366
Barry,2026,gas,0.2208
Barry,2027,gas,0.2208
Barry,2028,gas,0.2208
Barry,2029,gas,0.2208
Barry,2030,gas,0.2208
Barry,2031,gas,0.22
Barry,2032,gas,0.2193
Barry,2033,gas,0.2186
Barry,2034,gas,0.2178
Barry,2035,gas,0.2171
Barry,2036,gas,0.2164
Battlefield EfW,2026,gas,0.3301
Battlefield EfW,2027,gas,0.3301
Battlefield EfW,2028,gas,0.3301
Battlefield EfW,2029,gas,0.3301
Battlefield EfW,2030,gas,0.3301
Battlefield EfW,2031,gas,0.329
Battlefield EfW,2032,gas,0.3279
Battlefield EfW,2033,gas,0.3268
Battlefield EfW,2034,gas,0.3257
Battlefield EfW,2035,gas,0.3246
Battlefield EfW,2036,gas,0.3235
Beatson Clark plc - Rotherham,2026,biomass,0.0
Beatson Clark plc - Rotherham,2026,gas,0.9012
Beatson Clark plc - Rotherham,2027,biomass,0.0
Beatson Clark plc - Rotherham,2027,gas,0.9012
Beatson Clark plc - Rotherham,2028,biomass,0.0
Beatson Clark plc - Rotherham,2028,gas,0.9012
Beatson Clark plc - Rotherham,2029,biomass,0.0
Beatson Clark plc - Rotherham,2029,gas,0.9012
Beatson Clark plc - Rotherham,2030,biomass,0.0
Beatson Clark plc - Rotherham,2030,gas,0.9012
Beatson Clark plc - Rotherham,2031,biomass,0.0
Beatson Clark plc - Rotherham,2031,gas,0.8982
Beatson Clark plc - Rotherham,2032,biomass,0.0
Beatson Clark plc - Rotherham,2032,gas,0.8952
Beatson Clark plc - Rotherham,2033,biomass,0.0
Beatson Clark plc - Rotherham,2033,gas,0.8922
Beatson Clark plc - Rotherham,2034,biomass,0.0
Beatson Clark plc - Rotherham,2034,gas,0.8892
Beatson Clark plc - Rotherham,2035,biomass,0.0
Beatson Clark plc - Rotherham,2035,gas,0.8862
Beatson Clark plc - Rotherham,2036,biomass,0.0
Beatson Clark plc - Rotherham,2036,gas,0.8832
Beckton STW,2026,gas,0.2398
Beckton STW,2027,gas,0.2398
Beckton STW,2028,gas,0.2398
Beckton STW,2029,gas,0.2398
Beckton STW,2030,gas,0.2398
Beckton STW,2031,gas,0.239
Beckton STW,2032,gas,0.2382
Beckton STW,2033,gas,0.2374
Beckton STW,2034,gas,0.2366
Beckton STW,2035,gas,0.2358
Beckton STW,2036,gas,0.235
Beddington ERF,2026,gas,0.8872
Beddington ERF,2027,gas,0.8872
Beddington ERF,2028,gas,0.8872
Beddington ERF,2029,gas,0.8872
Beddington ERF,2030,gas,0.8872
Beddington ERF,2031,gas,0.8843
Beddington ERF,2032,gas,0.8813
Beddington ERF,2033,gas,0.8784
Beddington ERF,2034,gas,0.8754
Beddington ERF,2035,gas,0.8724
Beddington ERF,2036,gas,0.8695
Belfast,2026,gas,0.2683
Belfast,2027,gas,0.2683
Belfast,2028,gas,0.2683
Belfast,2029,gas,0.2683
Belfast,2030,gas,0.2683
Belfast,2031,gas,0.2674
Belfast,2032,gas,0.2665
Belfast,2033,gas,0.2656
Belfast,2034,gas,0.2647
Belfast,2035,gas,0.2638
Belfast,2036,gas,0.2629
Belfast (2),2026,gas,0.4621
Belfast (2),2027,gas,0.4621
Belfast (2),2028,gas,0.4621
Belfast (2),2029,gas,0.4621
Belfast (2),2030,gas,0.4621
Belfast (2),2031,gas,0.4606
Belfast (2),2032,gas,0.459
Belfast (2),2033,gas,0.4575
Belfast (2),2034,gas,0.4559
Belfast (2),2035,gas,0.4544
Belfast (2),2036,gas,0.4529
Belvedere,2026,gas,2.711
Belvedere,2027,gas,2.711
Belvedere,2028,gas,2.711
Belvedere,2029,gas,2.711
Belvedere,2030,gas,2.711
Belvedere,2031,gas,2.7019
Belvedere,2032,gas,2.6929
Belvedere,2033,gas,2.6838
Belvedere,2034,gas,2.6748
Belvedere,2035,gas,2.6658
Belvedere,2036,gas,2.6567
Billingham Fertilizer Works,2026,gas,0.6672
Billingham Fertilizer Works,2027,gas,0.6672
Billingham Fertilizer Works,2028,gas,0.6672
Billingham Fertilizer Works,2029,gas,0.6672
Billingham Fertilizer Works,2030,gas,0.6672
Billingham Fertilizer Works,2031,gas,0.665
Billingham Fertilizer Works,2032,gas,0.6628
Billingham Fertilizer Works,2033,gas,0.6605
Billingham Fertilizer Works,2034,gas,0.6583
Billingham Fertilizer Works,2035,gas,0.6561
Billingham Fertilizer Works,2036,gas,0.6539
Bolton,2026,gas,0.2748
Bolton,2027,gas,0.2748
Bolton,2028,gas,0.2748
Bolton,2029,gas,0.2748
Bolton,2030,gas,0.2748
Bolton,2031,gas,0.2739
Bolton,2032,gas,0.273
Bolton,2033,gas,0.2721
Bolton,2034,gas,0.2712
Bolton,2035,gas,0.2703
Bolton,2036,gas,0.2693
Bones Lane Factory,2026,biomass,0.0001
Bones Lane Factory,2026,gas,0.8319
Bones Lane Factory,2027,biomass,0.0001
Bones Lane Factory,2027,gas,0.8319
Bones Lane Factory,2028,biomass,0.0001
Bones Lane Factory,2028,gas,0.8319
Bones Lane Factory,2029,biomass,0.0001
Bones Lane Factory,2029,gas,0.8319
Bones Lane Factory,2030,biomass,0.0001
Bones Lane Factory,2030,gas,0.8319
Bones Lane Factory,2031,biomass,0.0001
Bones Lane Factory,2031,gas,0.8291
Bones Lane Factory,2032,biomass,0.0001
Bones Lane Factory,2032,gas,0.8263
Bones Lane Factory,2033,biomass,0.0001
Bones Lane Factory,2033,gas,0.8235
Bones Lane Factory,2034,biomass,0.0001
Bones Lane Factory,2034,gas,0.8208
Bones Lane Factory,2035,biomass,0.0001
Bones Lane Factory,2035,gas,0.818
Bones Lane Factory,2036,biomass,0.0001
