site,year,ktCO2e
Bury St Edmunds Sugar Factory,2036,222.97637376000003
Cantley Sugar Factory,2026,42.325632000000006
Cantley Sugar Factory,2027,42.325632000000006
Cantley Sugar Factory,2028,42.325632000000006
Cantley Sugar Factory,2029,42.325632000000006
Cantley Sugar Factory,2030,42.32563200000001
Cantley Sugar Factory,2031,42.184537088000006
Cantley Sugar Factory,2032,42.04344217600001
Cantley Sugar Factory,2033,41.902347264
Cantley Sugar Factory,2034,41.761252352
Cantley Sugar Factory,2035,41.62015744000001
Cantley Sugar Factory,2036,41.479062528000014
Cargill - Trafford Park,2026,116.43740160000002
Cargill - Trafford Park,2027,116.43740160000002
Cargill - Trafford Park,2028,116.43740160000002
Cargill - Trafford Park,2029,116.43740160000002
Cargill - Trafford Park,2030,116.43740160000003
Cargill - Trafford Park,2031,116.04927692800003
Cargill - Trafford Park,2032,115.66115225600004
Cargill - Trafford Park,2033,115.273027584
Cargill - Trafford Park,2034,114.88490291200002
Cargill - Trafford Park,2035,114.49677824000003
Cargill - Trafford Park,2036,114.10865356800001
Cauldon Cement,2026,518.9042880000001
Cauldon Cement,2027,532.853328
Cauldon Cement,2028,522.1227742080001
Cauldon Cement,2029,505.485598512
Cauldon Cement,2030,488.8484228160001
Cauldon Cement,2031,471.2062140000001
Cauldon Cement,2032,453.5640051840001
Cauldon Cement,2033,435.92179636800006
Cauldon Cement,2034,418.2795875520001
Cauldon Cement,2035,382.9951699200001
Cauldon Cement,2036,382.9951699200001
Cookstown Cement,2026,234.61236480000002
Cookstown Cement,2027,240.91914880000004
Cookstown Cement,2028,236.065333952
Cookstown Cement,2029,228.543241072
Cookstown Cement,2030,221.02114819200006
Cookstown Cement,2031,213.04464936000005
Cookstown Cement,2032,205.06815052800002
Cookstown Cement,2033,197.09165169599999
Cookstown Cement,2034,189.115152864
Cookstown Cement,2035,173.16215520000006
Cookstown Cement,2036,173.16215520000006
DSM Dalry,2026,57.91578624000002
DSM Dalry,2027,57.91578624000002
DSM Dalry,2028,57.91578624000002
DSM Dalry,2029,57.91578624000002
DSM Dalry,2030,57.915786240000024
DSM Dalry,2031,57.72272793600001
DSM Dalry,2032,57.529669632000015
DSM Dalry,2033,57.336611328000004
DSM Dalry,2034,57.143553024000006
DSM Dalry,2035,56.95049472000003
DSM Dalry,2036,56.75743641600002
Desford,2026,36.75552768000001
Desford,2027,36.75552768000001
Desford,2028,36.75552768000001
Desford,2029,36.75552768000001
Desford,2030,36.75552768000001
Desford,2031,36.632997888000006
Desford,2032,36.51046809600001
Desford,2033,36.387938304
Desford,2034,36.265408512
Desford,2035,36.14287872000001
Desford,2036,36.020348928
Dow Silicone Manufacturing Installation,2026,131.2364544
Dow Silicone Manufacturing Installation,2027,131.2364544
Dow Silicone Manufacturing Installation,2028,131.2364544
Dow Silicone Manufacturing Installation,2029,131.2364544
Dow Silicone Manufacturing Installation,2030,131.23645440000004
Dow Silicone Manufacturing Installation,2031,130.79899955200003
Dow Silicone Manufacturing Installation,2032,130.36154470400004
Dow Silicone Manufacturing Installation,2033,129.924089856
Dow Silicone Manufacturing Installation,2034,129.486635008
Dow Silicone Manufacturing Installation,2035,129.04918016000002
Dow Silicone Manufacturing Installation,2036,128.611725312
Dunbar Plant,2026,382.9357584
Dunbar Plant,2027,393.22973040000005
Dunbar Plant,2028,372.3140838720001
Dunbar Plant,2029,373.05576808800015
Dunbar Plant,2030,360.77719579200004
Dunbar Plant,2031,347.75693928000004
Dunbar Plant,2032,334.736682768
Dunbar Plant,2033,321.716426256
Dunbar Plant,2034,286.34976984000065
Dunbar Plant,2035,282.6556567200001
Dunbar Plant,2036,282.65565672
ETEX Building Performance Limited – Portbury Site,2026,67.2436224
ETEX Building Performance Limited – Portbury Site,2027,67.2436224
ETEX Building Performance Limited – Portbury Site,2028,67.2436224
ETEX Building Performance Limited – Portbury Site,2029,67.2436224
ETEX Building Performance Limited – Portbury Site,2030,67.24362240000002
ETEX Building Performance Limited – Portbury Site,2031,67.01947699200001
ETEX Building Performance Limited – Portbury Site,2032,66.79533158400001
ETEX Building Performance Limited – Portbury Site,2033,66.57118617600001
ETEX Building Performance Limited – Portbury Site,2034,66.347040768
ETEX Building Performance Limited – Portbury Site,2035,66.12289536000002
ETEX Building Performance Limited – Portbury Site,2036,65.89874995200002
East Leake Gypsum Works,2026,66.59005440000001
East Leake Gypsum Works,2027,66.59005440000001
East Leake Gypsum Works,2028,66.59005440000001
East Leake Gypsum Works,2029,66.59005440000001
East Leake Gypsum Works,2030,66.59005440000001
East Leake Gypsum Works,2031,66.368087552
East Leake Gypsum Works,2032,66.14612070400001
East Leake Gypsum Works,2033,65.924153856
East Leake Gypsum Works,2034,65.702187008
East Leake Gypsum Works,2035,65.48022016000002
East Leake Gypsum Works,2036,65.25825331200001
Eastham Refinery Limited,2026,34.5709056
Eastham Refinery Limited,2027,34.5709056
Eastham Refinery Limited,2028,34.5709056
Eastham Refinery Limited,2029,34.5709056
Eastham Refinery Limited,2030,34.5709056
Eastham Refinery Limited,2031,34.455669248
Eastham Refinery Limited,2032,34.340432896
Eastham Refinery Limited,2033,34.225196544
Eastham Refinery Limited,2034,34.109960192
Eastham Refinery Limited,2035,33.994723840000006
Eastham Refinery Limited,2036,33.879487488
Elanco AH UK Speke,2026,41.52714240000001
Elanco AH UK Speke,2027,41.52714240000001
Elanco AH UK Speke,2028,41.52714240000001
Elanco AH UK Speke,2029,41.52714240000001
Elanco AH UK Speke,2030,41.52714240000002
Elanco AH UK Speke,2031,41.38871859200001
Elanco AH UK Speke,2032,41.25029478400001
Elanco AH UK Speke,2033,41.111870976000006
Elanco AH UK Speke,2034,40.973447168
Elanco AH UK Speke,2035,40.83502336000001
Elanco AH UK Speke,2036,40.696599552
Encirc Glass,2026,194.9508096
Encirc Glass,2027,194.9508096
Encirc Glass,2028,194.9508096
Encirc Glass,2029,194.9508096
Encirc Glass,2030,194.95080960000004
Encirc Glass,2031,194.30097356800005
Encirc Glass,2032,193.65113753600002
Encirc Glass,2033,193.001301504
Encirc Glass,2034,192.351465472
Encirc Glass,2035,191.70162944000003
Encirc Glass,2036,191.05179340800004
Encirc Limited,2026,82.24727040000002
Encirc Limited,2027,82.24727040000002
Encirc Limited,2028,82.24727040000002
Encirc Limited,2029,82.24727040000002
Encirc Limited,2030,82.24727040000002
Encirc Limited,2031,81.97311283200001
Encirc Limited,2032,81.69895526400003
Encirc Limited,2033,81.42479769600001
Encirc Limited,2034,81.150640128
Encirc Limited,2035,80.87648256000001
Encirc Limited,2036,80.60232499200002
Essity UK Limited - Prudhoe Mill,2026,43.30598400000001
Essity UK Limited - Prudhoe Mill,2027,43.30598400000001
