site,tech,year,units
Tunstead Cement,cement_kiln_ccs,2033,0.2025
Tunstead Cement,cement_kiln_ccs,2034,0.2263
Tunstead Cement,cement_kiln_ccs,2035,0.274
Tunstead Cement,cement_kiln_ccs,2036,0.274
KETTON WORKS,cement_kiln,2026,0.6224
KETTON WORKS,cement_kiln,2027,0.6391
KETTON WORKS,cement_kiln,2028,0.6246
KETTON WORKS,cement_kiln,2029,0.6023
KETTON WORKS,cement_kiln,2030,0.58
KETTON WORKS,cement_kiln,2031,0.5577
KETTON WORKS,cement_kiln,2032,0.5354
KETTON WORKS,cement_kiln,2033,0.5131
KETTON WORKS,cement_kiln,2034,0.4908
KETTON WORKS,cement_kiln,2035,0.4462
KETTON WORKS,cement_kiln,2036,0.4462
KETTON WORKS,cement_kiln_ccs,2028,0.0312
KETTON WORKS,cement_kiln_ccs,2029,0.0769
KETTON WORKS,cement_kiln_ccs,2030,0.1227
KETTON WORKS,cement_kiln_ccs,2031,0.145
KETTON WORKS,cement_kiln_ccs,2032,0.1673
KETTON WORKS,cement_kiln_ccs,2033,0.1896
KETTON WORKS,cement_kiln_ccs,2034,0.2119
KETTON WORKS,cement_kiln_ccs,2035,0.2565
KETTON WORKS,cement_kiln_ccs,2036,0.2565
Dunbar Plant,cement_kiln,2026,0.5477
Dunbar Plant,cement_kiln,2027,0.5624
Dunbar Plant,cement_kiln,2028,0.5301
Dunbar Plant,cement_kiln,2029,0.5301
Dunbar Plant,cement_kiln,2030,0.5104
Dunbar Plant,cement_kiln,2031,0.4908
Dunbar Plant,cement_kiln,2032,0.4712
Dunbar Plant,cement_kiln,2033,0.4515
Dunbar Plant,cement_kiln,2034,0.3982
Dunbar Plant,cement_kiln,2035,0.3926
Dunbar Plant,cement_kiln,2036,0.3926
Dunbar Plant,cement_kiln_ccs,2028,0.0471
Dunbar Plant,cement_kiln_ccs,2029,0.0677
Dunbar Plant,cement_kiln_ccs,2030,0.1079
Dunbar Plant,cement_kiln_ccs,2031,0.1275
Dunbar Plant,cement_kiln_ccs,2032,0.1472
