site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
Beatson Clark plc - Rotherham,heat,small,True,heat,0.8119,gas_boiler,0.9021,0.962,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ibstock Brick Limited - Leicester,heat,small,True,heat,0.8029,gas_boiler,0.8921,0.988,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
The Lycra Company UK Limited,heat,small,True,heat,0.7776,gas_boiler,0.864,1.014,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Allied Glass Containers Ltd - Knottingley,heat,small,True,heat,0.7722,gas_boiler,0.858,1.04,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Novelis Latchford,heat,small,True,heat,0.7624,gas_boiler,0.8471,1.066,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Essity UK Limited - Prudhoe Mill,heat,small,True,heat,0.762,gas_boiler,0.8467,1.092,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Bridgend Operation,heat,small,True,heat,0.7591,gas_boiler,0.8434,1.118,South Wales,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ardagh Glass - Headlands,heat,small,True,heat,0.7568,gas_boiler,0.8408,1.144,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Bones Lane Factory,heat,small,True,heat,0.7495,gas_boiler,0.8327,1.17,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Cantley Sugar Factory,heat,small,True,heat,0.7448,gas_boiler,0.8275,1.196,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Elanco AH UK Speke,heat,small,True,heat,0.7307,gas_boiler,0.8119,1.222,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
